Sample,Calculated Concentration ug/mL,Dilution,Corrected Concentration ug/mL,Concentration mg/mL,Volume of Solvent used (mL),Size of Sample (mm2),Etizolam in total sample (mg),Sample Type,
FL20/0367,52.37,10,523.75,0.52,2.5,8,1.31,Blotter,
FL20/0368,44.90,10,448.99,0.45,2.5,8,1.12,Blotter,
FL21/0018,39.21,10,392.09,0.39,2.5,8,0.98,Blotter,
FL21/0019,39.91,10,399.15,0.40,2.5,8,1.00,Blotter,
FL21/0021,51.15,10,511.54,0.51,2.5,8,1.28,Blotter,
FL21/0028,56.78,10,567.80,0.57,2.5,8,1.42,Blotter,
FL21/0045,31.66,1,31.66,0.03,2.5,7,0.08,Paper,
FL21/0064,50.67,10,506.70,0.51,2.5,8,1.27,Blotter,
FL21/0070,146.78,1,146.78,0.15,2.5,10,0.37,Card,
FL21/0071,40.00,10,399.99,0.40,2.5,8,1.00,Blotter,
FL21/0077-2,32.85,10,328.55,0.33,2.5,10,0.82,Card,
FL21/0087,36.40,10,364.02,0.36,2.5,10,0.91,Card,
FL21/0088,66.87,10,668.71,0.67,2.5,8,1.67,Blotter,
FL21/0089,78.18,10,781.79,0.78,2.5,8,1.95,Blotter,
FL21/0126,42.33,10,423.31,0.42,2.5,8,1.06,Blotter,
FL21/0127,253.59,1,253.59,0.25,2.5,10,0.63,Paper,
FL21/0134,140.50,1,140.50,0.14,2.5,8,0.35,Blotter,
FL21/0170,32.16,10,321.59,0.32,2.5,10,0.80,Card,
FL21/0182,32.32,10,323.25,0.32,2.5,6,0.81,Blotter,
FL21/0186,90.42,1,90.42,0.09,2.5,6,0.23,Blotter,
FL21/0214,167.33,1,167.33,0.17,2.5,10,0.42,Card,
FL21/0216,133.92,1,133.92,0.13,2.5,10,0.33,Card,
FL21/0217,110.29,1,110.29,0.11,2.5,10,0.28,Card,
FL21/0221,57.92,1,57.92,0.06,2.5,10,0.14,Card,
FL21/0234,62.03,10,620.34,0.62,2.5,8,1.55,Blotter,
FL21/0258,199.79,1,199.79,0.20,2.5,10,0.50,Card,
FL21/0259,57.00,1,57.00,0.06,2.5,10,0.14,Card,
FL21/0282,35.47,10,354.73,0.35,2.5,6,0.89,Blotter,
FL21/0283,33.60,10,335.95,0.34,2.5,6,0.84,Blotter,
FL21/0290,168.67,1,168.67,0.17,2.5,10,0.42,Paper,
FL21/0294,129.31,1,129.31,0.13,2.5,10,0.32,Card,
FL21/0303,197.26,1,197.26,0.20,2.5,10,0.49,Card,
FL21/0308,226.70,1,226.70,0.23,2.5,10,0.57,Paper,
FL21/0314,30.43,10,304.28,0.30,2.5,6,0.76,Blotter,
FL21/0342,147.94,1,147.94,0.15,2.5,10,0.37,Paper,
FL21/0354,112.79,1,112.79,0.11,2.5,10,0.28,Card,
FL21/0355,133.48,1,133.48,0.13,2.5,10,0.33,Card,
FL21/0370,29.37,10,293.69,0.29,2.5,8,0.73,Blotter,
FL21/0376,64.95,10,649.47,0.65,2.5,8,1.62,Blotter,
FL21/0384,143.79,2,287.58,0.29,2.5,10,0.72,Card,
FL21/0392,128.92,1,128.92,0.13,2.5,10,0.32,Card,
FL21/0460-1,138.85,1,138.85,0.14,2.5,10,0.35,Card,
FL21/0464,51.30,1,51.30,0.05,2.5,10,0.13,Paper,
FL21/0522-1,44.30,10,442.99,0.44,2.5,8,1.11,Blotter,
FL21/0522-2,70.68,10,706.80,0.71,2.5,8,1.77,Blotter,
FL21/0536,54.75,10,547.50,0.55,2.5,10,1.37,Paper,
FL21/0599,180.34,1,180.34,0.18,2.5,10,0.45,Paper,
FL21/0618,162.11,2,324.22,0.32,2.5,10,0.81,Paper,
FL21/0626,46.18,10,461.78,0.46,2.5,10,1.15,Paper,
FL21/0674 ,229.60,2,459.21,0.46,2.5,10,1.15,Card,
FL21/0682,130.68,1,130.68,0.13,2.5,10,0.33,Paper,
FL21/0706,210.74,1,210.74,0.21,2.5,10,0.53,Card,
FL21/0720,122.60,1,122.60,0.12,2.5,10,0.31,Paper,
FL21/0736,156.58,2,313.16,0.31,2.5,10,0.78,Card,
FL21/0737,129.13,1,129.13,0.13,2.5,10,0.32,Card,
FL21/0738-1,37.30,10,372.95,0.37,2.5,8,0.93,Blotter,
FL21/0738-2,39.58,10,395.84,0.40,2.5,8,0.99,Blotter,
FL21/0752-1,162.87,2,325.74,0.33,2.5,10,0.81,Card,
FL21/0752-2,57.30,1,57.30,0.06,2.5,10,0.14,Card,
FL21/0754,169.42,2,338.83,0.34,2.5,10,0.85,Card,
FL21/0755,50.26,1,50.26,0.05,2.5,10,0.13,Paper,
FL21/0759,102.90,1,102.90,0.10,2.5,10,0.26,Paper,
FL21/0769-1,139.14,1,139.14,0.14,2.5,6,0.35,Blotter,
FL21/0769-2,161.92,1,161.92,0.16,2.5,6,0.40,Blotter,
FL21/0771,175.10,2,350.20,0.35,2.5,10,0.88,Card,
FL21/0787,208.96,2,417.92,0.42,2.5,10,1.04,Card,
FL21/0789,232.15,2,464.30,0.46,2.5,10,1.16,Card,
FL21/0792,164.86,1,164.86,0.16,2.5,10,0.41,Card,
FL21/0810,243.32,1,243.32,0.24,2.5,10,0.61,Card,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
,,,0.00,0.00,,,0.00,,
