DataName,PA,I.S PA
210922001,,
210922002,279207,3341141
210922003,1075247,3126031
210922004,2356664,3087501
210922005,4024578,3281911
210922006,8799645,4152510
210922007,11563362,3544168
210922008,15537569,3859469
210922009,,
210922010,5988434,3377279
210922011,5987825,3313889
210922012,6134777,3663762
210922013,6447624,3423174
210922014,6406542,3505101
210922015,6475434,3466414
210922016,6459849,3501711
210922017,6328649,3769624
210922018,6649421,3537028
210922019,26610,32002
210922020,5692914,3409907
210922021,6166730,3471083
210922022,5985501,3682097
210922023,6230358,3730749
210922024,6290584,3703038
210922025,6271125,3797797
210922026,6440878,3595311
210922027,6417751,3590038
210922028,6173159,3887497
210922029,6467241,3616261
