Name,PositionX,PositionY,Concentration,Dilution,PA,I.S PA,Type
25,,,25,,386381,3629564,Cal
50,,,50,,1372621,3545652,Cal
75,,,75,,2776273,3584928,Cal
100,,,100,,4432716,3747074,Cal
150,,,150,,10167611,4662902,Cal
200,,,200,,12163128,3888428,Cal
250,,,250,,16892951,4048506,Cal
40-1,,,40,,745228,3321464,Check
125-1,,,125,,5971388,3162399,Check
40-2,,,40,,849915,4010983,Check
125-2,,,125,,6102583,3462000,Check
40-3,,,40,,865207,4056404,Check
125-3,,,125,,6303426,3567346,Check
40-4,,,40,,819905,3996637,Check
125-4,,,125,,6322594,3569030,Check
A1,A,1,,10,4611671,3515464,Sample
A2,A,2,,10,5887173,3584105,Sample
A3,A,3,,10,5994575,3778544,Sample
A4,A,4,,10,6935467,3692596,Sample
A5,A,5,,10,6463682,3654234,Sample
A6,A,6,,10,5809224,3770661,Sample
A7,A,7,,10,5050442,3699485,Sample
A8,A,8,,10,5719477,3780569,Sample
A9,A,9,,10,3037287,3735210,Sample
B1,B,1,,10,5303417,3674181,Sample
B2,B,2,,10,5222588,3663705,Sample
B3,B,3,,10,5649786,3743099,Sample
B4,B,4,,10,5489829,3709635,Sample
B5,B,5,,10,4889539,3792852,Sample
B6,B,6,,10,6033929,3726761,Sample
B7,B,7,,10,5252666,3783172,Sample
B8,B,8,,10,5400447,3788694,Sample
B9,B,9,,10,6178975,3763473,Sample
C1,C,1,,10,5099499,3741285,Sample
C2,C,2,,10,5011561,3845629,Sample
C3,C,3,,10,5090305,3866538,Sample
C4,C,4,,10,5053573,3788754,Sample
C5,C,5,,10,6248632,3841947,Sample
C6,C,6,,10,5544604,3899357,Sample
C7,C,7,,10,4782243,3852723,Sample
C8,C,8,,10,5739095,3900033,Sample
C9,C,9,,10,6207255,3949571,Sample
D1,D,1,,10,5954324,3614435,Sample
D2,D,2,,10,5113998,3620589,Sample
D3,D,3,,10,5561554,3647433,Sample
D4,D,4,,10,4841402,3560166,Sample
D5,D,5,,10,5268065,3599831,Sample
D6,D,6,,10,4590622,3661460,Sample
D7,D,7,,10,5289789,3634243,Sample
D8,D,8,,10,4893921,3661212,Sample
D9,D,9,,10,6321607,3651535,Sample
E1,E,1,,10,5724010,3690729,Sample
E2,E,2,,10,4709519,3580637,Sample
E3,E,3,,10,4820272,3671266,Sample
E4,E,4,,10,4482680,3659997,Sample
E5,E,5,,10,4302695,3675925,Sample
E6,E,6,,10,4984041,3608497,Sample
E7,E,7,,10,5102600,3684430,Sample
E8,E,8,,10,4089797,3658616,Sample
E9,E,9,,10,6054086,3756315,Sample
F1,F,1,,10,6473001,3463030,Sample
F2,F,2,,10,5157157,3366317,Sample
F3,F,3,,10,5068440,3394984,Sample
F4,F,4,,10,5630182,3414316,Sample
F5,F,5,,10,5415944,3464151,Sample
F6,F,6,,10,5045063,3411819,Sample
F7,F,7,,10,4838950,3362974,Sample
F8,F,8,,10,5319154,3439613,Sample
F9,F,9,,10,4931148,3379828,Sample
G1,G,1,,10,5891624,3351999,Sample
G2,G,2,,10,6534381,3452981,Sample
G3,G,3,,10,6238458,3488913,Sample
G4,G,4,,10,5619562,3312389,Sample
G5,G,5,,10,5607664,3295148,Sample
