"SampleName","SampleType","Position","MethodName","MethodPath","SamplePath","DataName","Type","Dilution","Volume","Size","QuantWeight","TotalWeight","Date","Q.P.Etizolam","PA","Q.P.IS","I.S.PA","File","ratio","ValuesPositive","CorrectedConcentration","ConcentrationMg","SampleTotal","EtizolamPercentage","TotalEtizolam"
"MeOH BLK","Blank",4,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080001,"Blank",1,1,NA,NA,NA,211108,NA,27315.92131,NA,2779631.015,"2111080001.csv",0.009827175,13.5936672,13.5936672,0.013593667,0.013593667,NA,NA
"25ug/mL Etizolam","Cal",5,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080002,"Cal",1,1,NA,NA,NA,211108,NA,803824.8209,NA,2556098.741,"2111080002.csv",0.314473306,27.6376416,27.6376416,0.027637642,0.027637642,NA,NA
"50ug/mL Etizolam","Cal",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080003,"Cal",1,1,NA,NA,NA,211108,NA,1966766.063,NA,2397801.324,"2111080003.csv",0.820237291,50.64137916,50.64137916,0.050641379,0.050641379,NA,NA
"75ug/mL Etizolam","Cal",7,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080004,"Cal",1,1,NA,NA,NA,211108,NA,3534682.974,NA,2749206.564,"2111080004.csv",1.285710219,71.48287711,71.48287711,0.071482877,0.071482877,NA,NA
"100ug/mL Etizolam","Cal",8,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080005,"Cal",1,1,NA,NA,NA,211108,NA,4912619.963,NA,2653989.796,"2111080005.csv",1.851031971,96.39039631,96.39039631,0.096390396,0.096390396,NA,NA
"150ug/mL Etizolam","Cal",9,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080006,"Cal",1,1,NA,NA,NA,211108,NA,7735844.677,NA,2449368.815,"2111080006.csv",3.158301286,152.4033522,152.4033522,0.152403352,0.152403352,NA,NA
"200ug/mL Etizolam","Cal",10,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080007,"Cal",1,1,NA,NA,NA,211108,NA,10976523.78,NA,2492306.343,"2111080007.csv",4.404163162,203.9033529,203.9033529,0.203903353,0.203903353,NA,NA
"250ug/mL Etizolam","Cal",11,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080008,"Cal",1,1,NA,NA,NA,211108,NA,15384502.35,NA,2801112.002,"2111080008.csv",5.4922839,247.522433,247.522433,0.247522433,0.247522433,NA,NA
"MeOH BLK","Blank",4,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080009,"Blank",1,1,NA,NA,NA,211108,NA,17464.04541,NA,2542658.416,"2111080009.csv",0.00686842,13.45655966,13.45655966,0.01345656,0.01345656,NA,NA
"40ug/mL Etizolam","Check Standard",12,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080010,"Sample",1,1,NA,NA,NA,211108,NA,1424731.242,NA,2243996.727,"2111080010.csv",0.634907897,42.25623845,42.25623845,0.042256238,0.042256238,NA,NA
"125ug/mL Etizolam","Check Standard",13,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080011,"Sample",1,1,NA,NA,NA,211108,NA,6592770.633,NA,2537707.795,"2111080011.csv",2.597923468,128.6530995,128.6530995,0.1286531,0.1286531,NA,NA
"MeOH BLK","Blank",4,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080012,"Blank",1,1,NA,NA,NA,211108,NA,5731.507862,NA,2422878.022,"2111080012.csv",0.002365578,13.24787329,13.24787329,0.013247873,0.013247873,NA,NA
"FL21/0754 Dilution","Card",14,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080013,"Sample",1,2.5,10,NA,NA,211108,NA,8486969.923,NA,2401323.646,"2111080013.csv",3.53428824,168.1299334,168.1299334,0.168129933,0.420324834,NA,NA
"MeOH BLK","Blank",4,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080014,"Blank",1,1,NA,NA,NA,211108,NA,2009.355355,NA,2544322.452,"2111080014.csv",0.000789741,13.17483276,13.17483276,0.013174833,0.013174833,NA,NA
"FL21/0752-1 Dilution","Card",15,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080015,"Sample",1,2.5,10,NA,NA,211108,NA,8207182.635,NA,2418685.86,"2111080015.csv",3.393240424,162.2494706,162.2494706,0.162249471,0.405623677,NA,NA
"MeOH BLK","Blank",4,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080016,"Blank",1,1,NA,NA,NA,211108,NA,489.2776062,NA,2656437.821,"2111080016.csv",0.000184186,13.14676406,13.14676406,0.013146764,0.013146764,NA,NA
"FL21/0771","Card",16,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080017,"Sample",1,2.5,10,NA,NA,211108,NA,20659850.86,NA,2433156.875,"2111080017.csv",8.490965409,361.9766907,361.9766907,0.361976691,0.904941727,NA,NA
"MeOH BLK","Blank",4,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080018,"Blank",1,1,NA,NA,NA,211108,NA,1018.00821,NA,2656603.409,"2111080018.csv",0.000383199,13.1559888,13.1559888,0.013155989,0.013155989,NA,NA
"FL21/0736 Dilution","Card",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080019,"Sample",1,2.5,10,NA,NA,211108,NA,8055731.343,NA,2510502.176,"2111080019.csv",3.208812731,154.5256973,154.5256973,0.154525697,0.386314243,NA,NA
"MeOH BLK","Blank",4,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080020,"Blank",1,1,NA,NA,NA,211108,NA,1207.089436,NA,2581337.485,"2111080020.csv",0.000467622,13.15990197,13.15990197,0.013159902,0.013159902,NA,NA
"FL21/0792","Card",18,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080021,"Sample",1,2.5,10,NA,NA,211108,NA,8891791.214,NA,2596926.88,"2111080021.csv",3.423966721,163.5324396,163.5324396,0.16353244,0.408831099,NA,NA
"MeOH BLK","Blank",4,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Nov",2111080022,"Blank",1,1,NA,NA,NA,211108,NA,789.554425,NA,2667028.055,"2111080022.csv",0.000296043,13.15194891,13.15194891,0.013151949,0.013151949,NA,NA
