"SampleName","SampleType","Position","MethodName","MethodPath","SamplePath","DataName","Type","Dilution","Volume","Size","QuantWeight","TotalWeight","Date","File","Q.P.IS","I.S.PA","Q.P.Etizolam","PA","ratio","ValuesPositive","CorrectedConcentration","ConcentrationMg","SampleTotal","EtizolamPercentage","TotalEtizolam"
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223001,"Blank",NA,NA,NA,NA,NA,"220223","220223001.csv",390.933,5214347.70255634,390.933,NA,NA,NA,NA,NA,NA,NA,NA
"25ug/mL Etizolam","Cal",2,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223002,"Cal",NA,NA,NA,NA,NA,"220223","220223002.csv",390.651,4773729.15305534,613.797,728085.954000009,0.15251932622403,28.8398531412454,NA,NA,NA,NA,NA
"50ug/mL Etizolam","Cal",3,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223003,"Cal",NA,NA,NA,NA,NA,"220223","220223003.csv",390.351,4894456.50469005,614.3538,2456317.95358477,0.501857142101689,48.4061269577843,NA,NA,NA,NA,NA
"75ug/mL Etizolam","Cal",4,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223004,"Cal",NA,NA,NA,NA,NA,"220223","220223004.csv",390.363,4926090.04240591,614.9382,4421594.01511704,0.897586925341204,69.9263128277485,NA,NA,NA,NA,NA
"100ug/mL Etizolam","Cal",5,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223005,"Cal",NA,NA,NA,NA,NA,"220223","220223005.csv",390.354,5246817.31565991,615.4998,7800642.53289992,1.48673797153519,100.819042824168,NA,NA,NA,NA,NA
"150ug/mL Etizolam","Cal",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223006,"Cal",NA,NA,NA,NA,NA,"220223","220223006.csv",390.63798,5584847.96772413,616.356,13887590.3728,2.48665504469575,150.517541830166,NA,NA,NA,NA,NA
"200ug/mL Etizolam","Cal",7,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223007,"Cal",NA,NA,NA,NA,NA,"220223","220223007.csv",390.351,5692172.80792004,617.2122,20616008.4951935,3.6218170443646,203.426565575245,NA,NA,NA,NA,NA
"250ug/mL Etizolam","Cal",8,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223008,"Cal",NA,NA,NA,NA,NA,"220223","220223008.csv",390.37602,5857962.16397995,617.808,27154588.4948002,4.63550083368089,248.034971387534,NA,NA,NA,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223009,"Blank",NA,NA,NA,NA,NA,"220223","220223009.csv",390.35802,6083473.25556,390.35802,NA,NA,NA,NA,NA,NA,NA,NA
"40ug/mL Etizolam Check standard","Check Standard",9,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223010,"Sample",NA,NA,NA,NA,NA,"220223","220223010.csv",390.366,5449628.07127924,614.0832,1944533.35809999,0.356819462294705,40.3502117164356,NA,NA,NA,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223011,"Blank",NA,NA,NA,NA,NA,"220223","220223011.csv",390.64002,5988894.48818668,390.64002,NA,NA,NA,NA,NA,NA,NA,NA
"125ug/mL Etizolam Check standard","Check Standard",10,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223012,"Sample",NA,NA,NA,NA,NA,"220223","220223012.csv",390.357,5522860.74138997,616.0752,10611657.5518387,1.92140596128231,122.81732600362,NA,NA,NA,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223013,"Blank",NA,NA,NA,NA,NA,"220223","220223013.csv",390.35298,5914413.19721536,390.35298,NA,NA,NA,NA,NA,NA,NA,NA
"FL21/1010","Card",11,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223014,"Sample",1,2.5,10,NA,NA,"220223","220223014.csv",390.645,5430473.16673525,614.076,1375474.76519999,0.253288198462255,34.5414984098315,34.5414984098315,0.0345414984098315,0.0863537460245787,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223015,"Blank",NA,NA,NA,NA,NA,"220223","220223015.csv",390.35202,5925376.74911507,390.35202,NA,NA,NA,NA,NA,NA,NA,NA
"FL22/0210","Paper",12,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223016,"Sample",1,2.5,10,NA,NA,"220223","220223016.csv",390.64302,5418706.44048229,390.64302,NA,NA,NA,NA,NA,NA,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223017,"Blank",NA,NA,NA,NA,NA,"220223","220223017.csv",390.64998,5670813.53981383,390.64998,NA,NA,NA,NA,NA,NA,NA,NA
"FL22/0049","Card",13,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223018,"Sample",1,2.5,10,NA,NA,"220223","220223018.csv",367.506,NA,615.5088,8002836.25869996,NA,NA,NA,NA,NA,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223019,"Blank",NA,NA,NA,NA,NA,"220223","220223019.csv",390.35802,5504862.56535999,390.35802,NA,NA,NA,NA,NA,NA,NA,NA
"FL21/0927","Paper",14,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223020,"Sample",1,2.5,10,NA,NA,"220223","220223020.csv",390.64398,5338456.35535007,615.504,6430360.49320001,1.20453555581768,86.1838374136111,86.1838374136111,0.0861838374136111,0.215459593534028,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223021,"Blank",NA,NA,NA,NA,NA,"220223","220223021.csv",390.63498,5815440.80745036,390.63498,NA,NA,NA,NA,NA,NA,NA,NA
"FL22/0190","Card",15,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223022,"Sample",1,2.5,10,NA,NA,"220223","220223022.csv",367.49298,NA,615.7818,9361991.60180004,NA,NA,NA,NA,NA,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223023,"Blank",NA,NA,NA,NA,NA,"220223","220223023.csv",390.354,5913827.84897011,390.354,NA,NA,NA,NA,NA,NA,NA,NA
"FL22/0155","Paper",16,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223024,"Sample",1,2.5,10,NA,NA,"220223","220223024.csv",390.36498,5707596.41154993,614.6538,3300825.35160003,0.578321435783451,52.6159051292224,52.6159051292224,0.0526159051292224,0.131539762823056,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223025,"Blank",NA,NA,NA,NA,NA,"220223","220223025.csv",390.34998,5623196.44978844,390.34998,NA,NA,NA,NA,NA,NA,NA,NA
"FL21/0917","Paper",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223026,"Sample",1,2.5,10,NA,NA,"220223","220223026.csv",390.35598,5166383.81196126,614.931,4981381.03119999,0.96419104977587,73.4851483488228,73.4851483488228,0.0734851483488228,0.183712870872057,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223027,"Blank",NA,NA,NA,NA,NA,"220223","220223027.csv",390.351,5470192.20922492,390.351,NA,NA,NA,NA,NA,NA,NA,NA
"FL22/0018","Card",18,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223028,"Sample",1,2.5,10,NA,NA,"220223","220223028.csv",367.22202,NA,614.9388,4905649.07380003,NA,NA,NA,NA,NA,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223029,"Blank",NA,NA,NA,NA,NA,"220223","220223029.csv",390.64698,5977514.11311004,390.64698,NA,NA,NA,NA,NA,NA,NA,NA
"FL22/009-2","Card",19,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223030,"Sample",1,2.5,10,NA,NA,"220223","220223030.csv",390.363,5192494.68538618,615.795,9579154.50019122,1.84480776208609,118.986574583387,118.986574583387,0.118986574583387,0.297466436458469,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223031,"Blank",NA,NA,NA,NA,NA,"220223","220223031.csv",390.36102,5926254.52526915,390.36102,NA,NA,NA,NA,NA,NA,NA,NA
"FL22/0141","Paper",20,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223032,"Sample",1,2.5,10,NA,NA,"220223","220223032.csv",390.35598,4984342.44224001,614.6448,3886349.79130001,0.779711634249883,63.5842592942327,63.5842592942327,0.0635842592942327,0.158960648235582,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223033,"Blank",NA,NA,NA,NA,NA,"220223","220223033.csv",390.64098,5531924.48641617,390.64098,NA,NA,NA,NA,NA,NA,NA,NA
"FL22/009-1","Paper",21,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223034,"Sample",1,2.5,10,NA,NA,"220223","220223034.csv",390.35298,5788875.73482765,614.3562,2666828.14229999,0.460681532038343,46.1285980575254,46.1285980575254,0.0461285980575254,0.115321495143813,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223035,"Blank",NA,NA,NA,NA,NA,"220223","220223035.csv",390.63702,5697236.31604954,390.63702,NA,NA,NA,NA,NA,NA,NA,NA
"FL22/0176","Card",22,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223036,"Sample",1,2.5,10,NA,NA,"220223","220223036.csv",390.36102,5239245.67780992,615.7932,9111290.62964065,1.73904626542524,113.665645273257,113.665645273257,0.113665645273257,0.284164113183142,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223037,"Blank",NA,NA,NA,NA,NA,"220223","220223037.csv",390.36,5736838.14896002,407.50302,NA,NA,NA,NA,NA,NA,NA,NA
"FL22/0187-2","Paper",23,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223038,"Sample",1,2.5,10,NA,NA,"220223","220223038.csv",390.35802,5278530.37514998,614.646,3585349.63630001,0.679232547979444,58.1331634252629,58.1331634252629,0.058133163425263,0.145332908563157,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223039,"Blank",NA,NA,NA,NA,NA,"220223","220223039.csv",390.35598,5617736.15069071,390.35598,NA,NA,NA,NA,NA,NA,NA,NA
"FL22/0187-1","Card",24,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223040,"Sample",1,2.5,10,NA,NA,"220223","220223040.csv",367.49502,NA,614.9268,6121421.34589996,NA,NA,NA,NA,NA,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223041,"Blank",NA,NA,NA,NA,NA,"220223","220223041.csv",390.36102,6065644.71364881,432.933,NA,NA,NA,NA,NA,NA,NA,NA
"FL22/0174","Paper",25,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223042,"Sample",1,2.5,10,NA,NA,"220223","220223042.csv",390.64698,5770618.2728582,614.0778,1259886.1321,0.218327754934997,32.568803663044,32.568803663044,0.032568803663044,0.08142200915761,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223043,"Blank",NA,NA,NA,NA,NA,"220223","220223043.csv",390.633,5531109.24535352,407.49102,NA,NA,NA,NA,NA,NA,NA,NA
"40ug/mL Check Standard","Check Standard",26,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223044,"Sample",NA,NA,NA,NA,NA,"220223","220223044.csv",390.36102,5071780.32372991,614.364,1987461.01779998,0.391866542109685,42.3054750317252,NA,NA,NA,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223045,"Blank",NA,NA,NA,NA,NA,"220223","220223045.csv",383.50602,14854.9084799999,432.93498,NA,NA,NA,NA,NA,NA,NA,NA
"125ug/mL Check Standard","Check Standard",27,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223046,"Sample",NA,NA,NA,NA,NA,"220223","220223046.csv",390.363,5458078.74553212,616.0812,10835972.9429,1.98530901588221,125.998662056422,NA,NA,NA,NA,NA
"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223001,"Blank",NA,NA,NA,NA,NA,"220223","220223001.csv",390.933,5214347.70255634,390.933,NA,NA,NA,NA,NA,NA,NA,NA
"25ug/mL Etizolam","Cal",2,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223002,"Cal",NA,NA,NA,NA,NA,"220223","220223002.csv",390.651,4773729.15305534,613.797,728085.954000009,0.15251932622403,28.8398531412454,NA,NA,NA,NA,NA
"50ug/mL Etizolam","Cal",3,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223003,"Cal",NA,NA,NA,NA,NA,"220223","220223003.csv",390.351,4894456.50469005,614.3538,2456317.95358477,0.501857142101689,48.4061269577843,NA,NA,NA,NA,NA
"75ug/mL Etizolam","Cal",4,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223004,"Cal",NA,NA,NA,NA,NA,"220223","220223004.csv",390.363,4926090.04240591,614.9382,4421594.01511704,0.897586925341204,69.9263128277485,NA,NA,NA,NA,NA
"100ug/mL Etizolam","Cal",5,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223005,"Cal",NA,NA,NA,NA,NA,"220223","220223005.csv",390.354,5246817.31565991,615.4998,7800642.53289992,1.48673797153519,100.819042824168,NA,NA,NA,NA,NA
"150ug/mL Etizolam","Cal",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223006,"Cal",NA,NA,NA,NA,NA,"220223","220223006.csv",390.63798,5584847.96772413,616.356,13887590.3728,2.48665504469575,150.517541830166,NA,NA,NA,NA,NA
"200ug/mL Etizolam","Cal",7,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223007,"Cal",NA,NA,NA,NA,NA,"220223","220223007.csv",390.351,5692172.80792004,617.2122,20616008.4951935,3.6218170443646,203.426565575245,NA,NA,NA,NA,NA
"250ug/mL Etizolam","Cal",8,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223008,"Cal",NA,NA,NA,NA,NA,"220223","220223008.csv",390.37602,5857962.16397995,617.808,27154588.4948002,4.63550083368089,248.034971387534,NA,NA,NA,NA,NA
