"Mass","L1","L2","L3","L4","L5","L6","L7","L8","L9"
51,3.25800789820097,3.49256421811627,NA,NA,0.886719824030795,2.36185383244207,2.23411602209945,NA,NA
51.9,0.88306274681878,NA,NA,NA,NA,NA,NA,NA,NA
52.9,0.948881088196577,NA,NA,2.04060810121416,NA,NA,NA,NA,NA
55,2.62176393154893,NA,2.80405405405405,NA,NA,NA,NA,NA,NA
62,2.40785432207108,NA,NA,NA,NA,NA,0.908149171270718,NA,NA
63,3.5706450197455,NA,NA,NA,0.842040142974979,NA,NA,NA,NA
64,2.51755155770075,NA,NA,NA,NA,NA,0.99792817679558,NA,NA
65.1,1.54124616059675,NA,NA,NA,NA,0.963680926916221,0.687154696132597,0.182871202412952,NA
73,6.02237823606845,13.0464173050924,NA,NA,NA,NA,NA,NA,NA
75,1.90324703817464,4.14601171698964,7.75900900900901,NA,2.35771240032994,NA,NA,NA,NA
76,3.68034225537516,6.84993240198288,NA,NA,1.52770140225461,2.200311942959,1.73342541436464,NA,1.54032537210107
77,6.51053093462045,NA,NA,NA,NA,4.63458110516934,NA,NA,NA
77.9,2.05682316805617,NA,2.01576576576577,2.92827262524232,NA,NA,NA,NA,NA
87,1.09148749451514,NA,NA,2.77522701765126,0.546466868298048,NA,1.63674033149171,NA,NA
88,12.4506362439667,17.0797656602073,NA,NA,NA,1.44273618538324,3.6671270718232,NA,2.90325372101073
89.1,5.54519526107942,NA,NA,NA,NA,NA,NA,2.13243108082766,NA
90,10.0098727512067,NA,NA,4.36690133659831,2.55705251580973,2.71836007130125,12.2168508287293,NA,NA
91,5.23255813953488,NA,6.9481981981982,5.91776349352107,2.17555677756393,4.37277183600713,5.59737569060773,NA,NA
92,1.37670030715226,NA,NA,NA,NA,NA,1.2707182320442,NA,NA
102,4.03137340939008,NA,5.95720720720721,4.30568309356188,2.995257080011,2.95231729055258,NA,NA,2.66528210453444
103.1,6.97125932426503,NA,NA,NA,8.52522683530382,NA,NA,5.1501844095768,NA
104.1,5.68780166739798,NA,NA,NA,2.13603244432224,NA,NA,2.2199474901544,2.74316372447214
104.9,2.16652040368583,NA,3.17567567567568,3.39761248852158,NA,NA,NA,NA,NA
116,1.20666959192628,NA,NA,NA,NA,NA,NA,NA,NA
117,4.55243527863098,NA,3.81756756756757,3.47923681257015,NA,NA,7.30317679558011,NA,3.74697127033576
118.1,15.8293111013602,NA,NA,NA,NA,NA,NA,0.921071138338438,NA
119.1,3.45546292233436,NA,NA,NA,NA,NA,NA,0.293219041070201,NA
129,6.45568231680562,15.8292023433979,NA,1.56106519742883,NA,3.33667557932264,3.59461325966851,NA,2.73018345448252
130.1,6.7847740236946,13.8463271744029,NA,NA,NA,4.98551693404635,NA,1.64093267487654,NA
