"Row.names","Numerator","V1","ratio","L.peak","P.peak","name"
"L1.S14",12863.6805597697,15949.9059488047,0.806505104234406,"L1","S14","210908012"
"L2.S14",4408.01275379886,20466.5523302516,0.215376419177517,"L2","S14","210908012"
"L3.S14",4896.04008929142,24039.1293488849,0.203669609586694,"L3","S14","210908012"
"L4.S14",5217.04764651072,22744.1990845768,0.229379264009718,"L4","S14","210908012"
"L5.S14",1326.77915562472,16715.8231382247,0.0793726485769473,"L5","S14","210908012"
"L6.S14",1540.22028601092,21587.8872408857,0.0713465041217129,"L6","S14","210908012"
"L7.S14",19305.3242050256,24222.5535875195,0.796997894349692,"L7","S14","210908012"
"L8.S14",2485.26785835359,17328.3657046279,0.143421941844743,"L8","S14","210908012"
"L9.S14",6534.57959843709,23542.2923788117,0.277567685138355,"L9","S14","210908012"
"L1.S15",1994.2113315227,14483.1798565625,0.137691539514998,"L1","S15","210908012"
"L2.S15",2161.99965053887,18584.4831558394,0.11633359036189,"L2","S15","210908012"
"L3.S15",2909.15398228255,21828.5320974675,0.133273001102079,"L3","S15","210908012"
"L4.S15",1570.39422204015,20652.6814071952,0.0760382727587635,"L4","S15","210908012"
"L5.S15",738.391245325728,15178.6646102162,0.0486466539901505,"L5","S15","210908012"
"L6.S15",755.79709660151,19602.7020244825,0.0385557611219907,"L6","S15","210908012"
"L7.S15",2620.04105242927,21995.0889565941,0.119119366036653,"L7","S15","210908012"
"L8.S15",15693.5213488723,15734.8788090643,0.997371606054684,"L8","S15","210908012"
"L9.S15",1383.44609240653,21377.3834060547,0.064715408154896,"L9","S15","210908012"
"L1.S16",4278.51199124975,20118.6920239164,0.212663526344735,"L1","S16","210908012"
"L2.S16",7999.03142276575,25815.8427043614,0.309849711836615,"L2","S16","210908012"
"L3.S16",19359.0585238789,30322.175030101,0.638445576699596,"L3","S16","210908012"
"L4.S16",20621.3230978246,28688.7921585226,0.718793701173601,"L4","S16","210908012"
"L5.S16",6495.15076841877,21084.7950278604,0.308049035327893,"L5","S16","210908012"
"L6.S16",16270.3190829952,27230.2580491994,0.597508810000923,"L6","S16","210908012"
"L7.S16",19155.3887489425,30553.5403922953,0.626944979305016,"L7","S16","210908012"
"L8.S16",1792.25674712994,21857.4362763142,0.0819975739365243,"L8","S16","210908012"
"L9.S16",22239.734001808,29695.481053404,0.748926544136877,"L9","S16","210908012"
"L1.S3",13324.7878783087,14246.1848799541,0.935323245527871,"L1","S3","210908012"
"L2.S3",4401.24240589339,18280.376654752,0.240763223264838,"L2","S3","210908012"
"L3.S3",2810.4290087835,21471.3417217993,0.130892100046554,"L3","S3","210908012"
"L4.S3",2175.0720797963,20314.7320207017,0.107068706472711,"L4","S3","210908012"
"L5.S3",800.84165710971,14930.2890946269,0.0536387240752033,"L5","S3","210908012"
"L6.S3",1043.6778081859,19281.9339366893,0.0541272370091471,"L6","S3","210908012"
"L7.S3",13198.7888762925,21635.1731339368,0.610061624863495,"L7","S3","210908012"
"L8.S3",2089.36560774315,15477.4017030543,0.134994597144225,"L8","S3","210908012"
"L9.S3",1924.93534419826,21027.5753852718,0.0915433809618647,"L9","S3","210908012"
"L1.S4",13142.3357902769,13296.5341103624,0.988403119278629,"L1","S4","210908012"
"L2.S4",5844.43365785234,17061.8066372424,0.342544830223029,"L2","S4","210908012"
"L3.S4",2388.14485589911,20040.0619537707,0.119168536574796,"L3","S4","210908012"
"L4.S4",1832.60875490351,18960.5518622894,0.0966537666315705,"L4","S4","210908012"
"L5.S4",633.677681263919,13935.0359339797,0.0454737027063371,"L5","S4","210908012"
"L6.S4",832.077286119598,17996.6001047552,0.0462352489512584,"L6","S4","210908012"
"L7.S4",12449.409215378,20192.9723629919,0.616521876600705,"L7","S4","210908012"
"L8.S4",1518.24266228695,14445.678012646,0.105100131745832,"L8","S4","210908012"
"L9.S4",1592.08195598561,19625.8770838993,0.0811215697102133,"L9","S4","210908012"
"L1.S6",6443.89159744405,17324.6603606399,0.371949086637451,"L1","S6","210908012"
"L2.S6",21908.5747500428,22230.6055604951,0.98551407834681,"L2","S6","210908012"
"L3.S6",3734.75480278085,26111.1101640152,0.143033167847757,"L3","S6","210908012"
"L4.S6",3325.57914687181,24704.5672607617,0.134613940481922,"L4","S6","210908012"
"L5.S6",1465.64474541531,18156.593490131,0.0807224519407761,"L5","S6","210908012"
"L6.S6",1507.46493479731,23448.5905780632,0.0642880828926064,"L6","S6","210908012"
"L7.S6",5016.37170547871,26310.3441059866,0.190661577259162,"L7","S6","210908012"
"L8.S6",1995.05466147394,18821.9323299606,0.105996272141422,"L8","S6","210908012"
"L9.S6",2939.86531176544,25571.4498181325,0.114966704378287,"L9","S6","210908012"
"L1.S7",14567.2307501834,15588.4403453092,0.93448930281001,"L1","S7","210908012"
"L2.S7",5692.95048542867,20002.727984624,0.284608703863033,"L2","S7","210908012"
"L3.S7",4666.87693917985,23494.3412839589,0.198638339452667,"L3","S7","210908012"
"L4.S7",3350.07832334036,22228.7574465812,0.150709203219796,"L4","S7","210908012"
"L5.S7",1357.08937962949,16336.99989513,0.0830684573875792,"L5","S7","210908012"
"L6.S7",2080.58171123865,21098.6505823897,0.0986120748866868,"L6","S7","210908012"
"L7.S7",14240.3086933978,23673.6086608962,0.601526742178507,"L7","S7","210908012"
"L8.S7",2603.27015486806,16935.6606825972,0.153715299547962,"L8","S7","210908012"
"L9.S7",2779.24224286562,23008.7639085067,0.120790593267728,"L9","S7","210908012"
