[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\SPS_Analysis\210913036.D
1=,PBM Apex
[PBM Apex]
Time=,Mon Oct 25 10:21:38 2021
Header=,"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
1=,  7,  6.7113, 0.3038,"ADB-BUTINACA Impurity 1",     4,"000000-00-0",99
2=,  8,  6.8856, 0.0892,"ADB-BUTINACA Impurity 2",     1,"000000-00-0",99
3=,  9,  6.9539, 0.6220,"ADB-BUTINACA Impurity 3",     5,"000000-00-0",99
4=, 10,  7.1080, 0.1517,"ADB-BUTINACA IMPURITY 4",     2,"000000-00-0",99
5=, 11,  7.2123, 0.1661,"ADB-BUTINACA Impurity 5",     6,"000000-00-0",94
6=, 12,  7.2579, 6.1497,"ADB-BUTINACA Impurity 6",     7,"000000-00-0",99
7=, 14,  8.0747, 0.2238,"ADB-BUTINACA Impurity 9",    19,"000000-00-0",70
8=, 15,  8.3155, 0.2199,"ADB-BUTINACA Impurity 13",     9,"000000-00-0",99
9=, 16,  8.6333, 1.7342,"ADB-BUTINACA Impurity 15",    10,"000000-00-0",98
10=, 17,  8.7543,80.9127,"ADB-BUTINACA Impurity 16 (RT 9.3)",    18,"000000-00-0",93
11=, 18,  8.9328, 1.6697,"ADB-4EN-PINACA2 (ADB-BUTINACA Impurity 17)",    11,"000000-00-0",98
12=, 19,  9.1370, 0.2848,"ADB-BUTINACA Impurity 16 (RT 9.3)",    18,"000000-00-0",78
